type,experiment,arch,imgsz,seed,epochs,best_ep,mAP50,mAP50_95,precision,recall,last_mAP50,train_box,train_cls,val_box,val_cls,test_score,zip_mb,weights,azure_job,created,notes
training,yolov8x_640_combo_fulldata,yolov8x,640,,200,94,0.9261,0.5869,0.7994,0.8734,0.9048,0.7469,0.6948,1.4974,1.68,,,pt,frosty_nutmeg_02x7540vxl,2026-03-20T10:50:02,
training,yolov8x_640_fulldata,yolov8x,640,,150,95,0.9071,0.5665,0.7582,0.8658,0.8693,0.9082,0.4746,1.5863,0.859,,,pt,maroon_okra_xq33qqcrtd,2026-03-20T07:11:36,
training,yolov8m_640_s77,yolov8m,640,77,150,125,0.8069,0.5433,0.744,0.7879,0.8053,0.9808,0.5708,1.2428,0.7986,,,pt,salmon_prune_2p3qsjm8rr,2026-03-20T07:08:19,
training,yolov8x_640_seed77,yolov8x,640,77,150,130,0.8064,0.5497,0.7712,0.768,0.7935,0.9097,0.4795,1.2027,0.7546,,,none,icy_turnip_rlh1y3vtlz,2026-03-19T21:59:19,
training,yolov8l_640_s77,yolov8l,640,77,122,107,0.804,0.5423,0.7844,0.7462,0.8025,1.1046,0.7142,1.2671,0.7906,,,pt,willing_parcel_gfr449w219,2026-03-19T22:29:01,
training,yolov8l_800_s42,yolov8l,800,42,150,129,0.7992,0.514,0.7714,0.7489,0.7868,0.8952,0.4781,1.2707,0.7457,,,pt,silly_salt_726w2ryhpr,2026-03-20T07:05:55,
training,yolov8x_640_nobs32,yolov8x,640,,150,128,0.7984,0.5126,0.7784,0.7432,0.7869,0.8683,0.4391,1.2564,0.7192,,,pt,upbeat_engine_zyytwnr710,2026-03-20T02:41:29,
training,yolov8l_640_seed42,yolov8l,640,42,200,168,0.795,0.5135,0.7737,0.7324,0.7923,0.8714,0.4527,1.246,0.7262,,,pt,quirky_table_w5xhgx6191,2026-03-19T22:06:36,
training,yolov8x_640_noflipud,yolov8x,640,,150,86,0.7941,0.5104,0.7662,0.7539,0.7882,0.7878,0.4157,1.2562,0.734,,,pt,tender_carpet_50bw4fzllx,2026-03-19T22:30:13,
training,yolov8l_1280_s42,yolov8l,1280,42,130,124,0.7937,0.5063,0.7519,0.7772,0.7892,0.9545,0.612,1.3137,0.7567,,,pt,patient_office_kd56h327s2,2026-03-20T07:05:36,
training,yolov8x_640_cls15_box10,yolov8x,640,,132,104,0.7931,0.5011,0.7694,0.7363,0.7758,1.3646,1.505,1.7088,2.2085,,,pt,coral_kiwi_3qdvp76n9f,2026-03-20T07:06:55,
training,yolov8x_640_adamw_lr0005,yolov8x,640,,133,104,0.7925,0.5095,0.7729,0.7461,0.7755,0.8843,0.4766,1.2359,0.7463,,,pt,tender_grape_l9s5jhfbsh,2026-03-20T02:08:28,
training,yolov8x_800_s42,yolov8x,800,42,148,110,0.7921,0.5138,0.7462,0.7579,0.7846,0.8856,0.4672,1.2516,0.7477,,,pt,sweet_stone_1g4ls9g1pq,2026-03-19T22:27:51,
training,yolo11x_640_heavyaug,yolo11x,640,,132,121,0.7906,0.5194,0.7913,0.7411,0.7849,1.0031,0.5819,1.2025,0.709,,,pt,hungry_sheep_6f5861twnj,2026-03-20T07:10:25,
training,yolov8l_640_heavyaug,yolov8l,640,,150,141,0.7905,0.5126,0.7574,0.7662,0.7868,0.9913,0.5905,1.2279,0.7193,,,pt,frosty_bee_0rczz6jvz0,2026-03-19T22:31:24,
training,yolov8x_640_lightaug,yolov8x,640,,104,104,0.7901,0.5039,0.767,0.7412,0.7901,0.7164,0.4067,1.2653,0.752,,,pt,ashy_bottle_5fwq2ytw7c,2026-03-19T22:30:47,
training,yolov8x_640_closemosaic30,yolov8x,640,,130,101,0.7898,0.506,0.7541,0.7506,0.7748,0.9502,0.5125,1.2588,0.7499,,,pt,sad_quince_897ts5b7vl,2026-03-19T22:31:05,
training,yolov8x_640_cls10,yolov8x,640,,150,109,0.7898,0.5011,0.7983,0.7275,0.7875,0.9495,0.91,1.283,1.4542,,,pt,happy_foot_gs5s78qxyb,2026-03-20T02:58:29,
training,yolov8x_640_copypaste03,yolov8x,640,,130,101,0.7898,0.506,0.7541,0.7506,0.7791,1.0047,0.6082,1.2341,0.7351,,,pt,jolly_garden_v9sjr40vm2,2026-03-19T22:29:55,
training,yolov8l_640_500ep,yolov8l,640,,214,103,0.7895,0.4857,0.7415,0.7433,0.7759,1.0524,0.6588,1.2889,0.766,,,pt,modest_kite_0vkj5vcrqp,2026-03-20T07:07:36,
training,yolov8x_640_heavymix,yolov8x,640,,200,163,0.7892,0.5097,0.747,0.77,0.7836,0.9946,0.5739,1.2475,0.7235,,,pt,musing_lime_5kr3j12cw8,2026-03-19T22:04:08,
training,yolov8x_640_sgd,yolov8x,640,,144,126,0.7884,0.5073,0.7121,0.7578,0.7841,0.8982,0.5317,1.2457,0.7634,,,pt,hungry_kumquat_l05snpbvw1,2026-03-19T22:09:03,
training,yolov8x_640_combo,yolov8x,640,,111,78,0.7879,0.4974,0.7775,0.7452,0.775,1.055,1.2299,1.2323,1.4878,,,pt,honest_guitar_19tz4bhl40,2026-03-20T10:51:30,
training,yolov8x_640_longaug,yolov8x,640,,278,224,0.7867,0.4964,0.7739,0.7426,0.7755,1.0299,0.6212,1.2538,0.7045,,,pt,coral_window_1m599f3rgm,2026-03-19T20:22:47,
training,yolov8x_640_cutmix02,yolov8x,640,,150,119,0.7864,0.5068,0.7763,0.7482,0.7708,0.9271,0.4991,1.2434,0.7385,,,pt,cool_dinner_ktyt17jg7b,2026-03-19T22:31:44,
training,yolov8x_640_nocosine,yolov8x,640,,116,73,0.7863,0.501,0.7631,0.7391,0.7801,1.046,0.6483,1.3208,0.7588,,,pt,elated_kettle_c4vwc0fz5k,2026-03-20T07:05:15,
training,yolov8x_640_mixup05,yolov8x,640,,148,118,0.7852,0.5102,0.7646,0.7421,0.7793,0.9651,0.5304,1.2561,0.7405,,,pt,green_pizza_yjfptr2qlz,2026-03-19T22:29:37,
training,yolov8l_640_sgd,yolov8l,640,,137,95,0.7849,0.4965,0.7393,0.7399,0.7714,0.8657,0.4682,1.2391,0.7977,,,pt,blue_toe_q60n90cc5y,2026-03-20T07:04:55,
training,yolov8x_640_heavyaug,yolov8x,640,,147,117,0.7845,0.5163,0.7534,0.745,0.7775,0.9718,0.577,1.2311,0.7088,,,pt,lucid_neck_7bzs2h2xxk,2026-03-19T22:30:30,
training,yolov8x_640_500ep,yolov8x,640,,150,100,0.7826,0.5026,0.7395,0.7445,0.7583,1.0753,0.6898,1.3277,0.7914,,,pt,blue_jewel_k0yfcb4011,2026-03-20T07:07:17,
training,yolov8x_640_adamw_lr002,yolov8x,640,,118,114,0.7814,0.4967,0.7358,0.7472,0.772,1.1151,0.7082,1.2761,0.7508,,,none,salmon_parang_dg789g1kpb,2026-03-20T02:13:57,
training,yolov8m_800_s42,yolov8m,800,42,150,119,0.777,0.5051,0.748,0.7457,0.7668,0.9346,0.5331,1.2579,0.776,,,pt,tough_grass_4kswgg73n2,2026-03-20T07:07:59,
training,yolov8x_1280_batch1,yolov8x,1280,,80,73,0.777,0.5051,0.7685,0.7383,0.7694,0.9936,0.6196,1.342,0.8511,,,pt,bold_kale_044mk4qllt,2026-03-19T20:22:32,
training,yolov8x_640_s123,yolov8x,640,123,121,90,0.7767,0.4932,0.7797,0.715,0.7688,1.0307,0.638,1.2447,0.7388,,,pt,cool_potato_2h5grwh466,2026-03-19T22:28:27,
training,yolov8x_640_sgd_lr005,yolov8x,640,,149,95,0.7752,0.5054,0.7536,0.7297,0.7638,0.8432,0.4567,1.2156,0.7688,,,none,red_diamond_y99z51rgzf,2026-03-19T22:32:02,
training,yolov8l_640_s123,yolov8l,640,123,149,93,0.7722,0.4993,0.7575,0.7087,0.7577,0.9372,0.5019,1.2468,0.7529,,,pt,hungry_snake_y4qyzpsb0c,2026-03-19T22:29:19,
training,yolov8m_640_adamw_heavy,yolov8m,640,,149,119,0.7707,0.4975,0.7734,0.7295,0.7599,1.0313,0.6663,1.2275,0.7794,,,pt,strong_mango_wgqdghlqjb,2026-03-20T07:08:58,
training,yolov8x_640_rect,yolov8x,640,,132,94,0.7612,0.4793,0.7684,0.7047,0.7513,0.8881,0.4699,1.3132,0.7913,,,none,goofy_button_rsc9f151f4,2026-03-20T07:11:19,
training,yolov8x_640_freeze10,yolov8x,640,,118,116,0.7607,0.4709,0.7656,0.712,0.7592,1.1679,0.8215,1.3485,0.8638,,,pt,keen_carnival_wcsknc8znh,2026-03-20T07:11:01,
training,yolov8x_640_s314,yolov8x,640,314,150,129,0.7552,0.5079,0.733,0.7222,0.7491,0.9135,0.4785,1.1696,0.8155,,,pt,blue_bread_jf44d4xrn2,2026-03-19T22:28:45,
training,yolov8s_800_s42,yolov8s,800,42,150,124,0.7542,0.4829,0.758,0.7135,0.7424,1.007,0.6359,1.2767,0.889,,,pt,maroon_lizard_pb48hnjf8m,2026-03-20T07:08:40,
training,yolov8x_640_seed999,yolov8x,640,999,148,115,0.7176,0.4591,0.7147,0.6871,0.7106,0.9126,0.4738,1.2809,0.8739,,,pt,musing_toe_4bt75smmxw,2026-03-19T22:01:42,
training,yolov8x_expert_section,yolov8x,,,,,,,,,,,,,,,,none,neat_wall_qdqsh0f7mv,2026-03-20T07:10:05,No results.csv
training,yolo11x_800_s42,yolo11x,800,,,,,,,,,,,,,,,azure,plucky_stone_5xgb21rhpb,2026-03-20T07:10:44,Not downloaded
training,yolov8l_expert_rare30,yolov8l,,,,,,,,,,,,,,,,azure,quiet_octopus_qzvy1pmzdv,2026-03-20T07:09:40,Not downloaded
training,yolov8x_expert_rare30,yolov8x,,,,,,,,,,,,,,,,azure,sweet_soursop_8gvdx2lbgw,2026-03-20T07:09:17,Not downloaded
training,yolov8l_960_s42,yolov8l,960,,,,,,,,,,,,,,,azure,bold_bulb_wll2l4l4sf,2026-03-19T22:28:09,Not downloaded
training,yolov8x_960_ms,yolov8x,960,,,,,,,,,,,,,,,azure,jolly_lime_k9qwmx3yks,2026-03-19T22:11:25,Not downloaded
training,yolov8x_multiscale_train,yolov8x,,,,,,,,,,,,,,,,azure,lemon_hair_wgqtfvt9zm,2026-03-19T21:03:40,Not downloaded
training,yolov8x_expert_rare50,yolov8x,,,,,,,,,,,,,,,,azure,patient_stamp_9n489jlcm0,2026-03-19T21:03:23,Not downloaded
training,yolo11l_640_onnx,yolo11l,640,,,,,,,,,,,,,,,azure,maroon_yacht_m85q6xhvgg,2026-03-19T20:23:00,Not downloaded
training,yolov8s_640_fast,yolov8s,640,,,,,,,,,,,,,,,azure,magenta_monkey_rxyhjf8w20,2026-03-19T20:07:59,Not downloaded
training,yolo11x_640_onnx,yolo11x,640,,,,,,,,,,,,,,,azure,tough_chain_2cy8wmkh7z,2026-03-19T19:50:09,Not downloaded
training,yolov8m_640_diverse,yolov8m,640,,,,,,,,,,,,,,,azure,frosty_calypso_7fy1j62tvl,2026-03-19T19:49:54,Not downloaded
training,yolov8l_640_highaug,yolov8l,640,,,,,,,,,,,,,,,azure,affable_sponge_8b84wz30b7,2026-03-19T19:49:40,Not downloaded
training,yolov8x_1280_highres,yolov8x,1280,,,,,,,,,,,,,,,azure,tough_stick_hmmdbgxgns,2026-03-19T19:49:03,Not downloaded
training,yolov8x_640_baseline,yolov8x,640,,,,,,,,,,,,,,,azure,eager_map_gh8pqr2w1n,2026-03-19T19:48:48,Not downloaded
submission,onnx_ensemble_fulldata_ms_tuned,,,,,,,,,,,,,,,0.9091,294.4,,,,WBF: fulldata_x+m_s77+s tuned
submission,onnx_ensemble_xms_tuned,,,,,,,,,,,,,,,0.9091,294.4,,,,WBF: fulldata_x+m_diverse+s tuned
submission,yolov8x_onnx_clean,,,,,,,,,,,,,,,0.7802,211.8,,,,Single x_640 seed42 ONNX baseline
submission,yolov8l_640_s77,,,,,,,,,,,,,,,0.77,137.8,,,,Single l_640 seed77 ONNX
submission,adv_all5,,,,,,,,,,,,,,,,294.4,,,,Adv: all features combined
submission,adv_tta,,,,,,,,,,,,,,,,294.4,,,,Adv: TTA hflip
submission,adv_tta_2stage,,,,,,,,,,,,,,,,294.4,,,,Adv: TTA+2stage(conf_type=max)
submission,adv_tta_expand10,,,,,,,,,,,,,,,,294.4,,,,Adv: TTA+10%box expand
submission,baseline_fulldata_fp16,,,,,,,,,,,,,,,,120.8,,,,Single fulldata FP16
submission,best_ensemble_sahi,,,,,,,,,,,,,,,,294.1,,,,WBF+SAHI tiled
submission,best_ensemble_sahi_gallery,,,,,,,,,,,,,,,,296.9,,,,WBF+SAHI+gallery classifier
submission,onnx_ensemble_x500m,,,,,,,,,,,,,,,,258.2,,,,WBF: x_500ep+m_diverse
submission,onnx_ensemble_xm,,,,,,,,,,,,,,,,258.1,,,,WBF: x_640+m_diverse
submission,onnx_ensemble_xm_tuned,,,,,,,,,,,,,,,,258.1,,,,WBF: x_640+m_diverse tuned
submission,onnx_ensemble_xms,,,,,,,,,,,,,,,,294.4,,,,WBF: x_640+m_diverse+s
submission,onnx_fulldata800_ms,,,,,,,,,,,,,,,,294.4,,,,WBF: fulldata_x_800+m_s77+s
submission,onnx_fulldata_800px,,,,,,,,,,,,,,,,212.0,,,,Single fulldata_x 800px
submission,onnx_fulldata_mm,,,,,,,,,,,,,,,,340.7,,,,WBF: fulldata_x+m_diverse+m_s77
submission,onnx_fulldata_ms77_s,,,,,,,,,,,,,,,,330.8,,,,WBF: fulldata_x+m_s77+s
submission,onnx_fulldata_ms_conf001,,,,,,,,,,,,,,,,294.4,,,,
submission,onnx_fulldata_ms_wbf05,,,,,,,,,,,,,,,,294.4,,,,
submission,onnx_fulldata_ms_wbf06,,,,,,,,,,,,,,,,294.4,,,,
submission,softvote_3x_fp16,,,,,,,,,,,,,,0.9142,362.2,,,,SoftVote 3x_fp16 fulldata+s123+999
submission,softvote_3x_fp16_tta,,,,,,,,,,,,,,,,362.2,,,,SoftVote 3x_fp16+TTA
submission,softvote_3x_ms_tta,,,,,,,,,,,,,,,,362.2,,,,SoftVote 3x_fp16_dyn ms640+800+TTA
submission,softvote_ms_tta,,,,,,,,,,,,,,,,120.8,,,,SoftVote 1x fulldata_fp16 ms640+800+TTA
submission,twostage_yolov8l_s77,,,,,,,,,,,,,,,,224.0,,,,
submission,wbf_3x_fp16_tta,,,,,,,,,,,,,,,0.9160,362.2,,,,WBF 3x_fp16+TTA (comparison)
submission,yolov8x_lownms,,,,,,,,,,,,,,,,212.0,,,,Single x low NMS
submission,yolov8x_tuned,,,,,,,,,,,,,,,,212.0,,,,Single x tuned conf/nms
ens_sweep,wbf_conf0.005_iou0.7,,,,,,0.937,,,,,,,,,,,,,,det=0.9686 cls=0.8631 n=60369
ens_sweep,wbf_conf0.01_iou0.6,,,,,,0.9369,,,,,,,,,,,,,,det=0.9688 cls=0.8625 n=43971
ens_sweep,wbf_conf0.01_iou0.7,,,,,,0.9369,,,,,,,,,,,,,,det=0.9687 cls=0.8628 n=47591
ens_sweep,wbf_conf0.01_iou0.55,,,,,,0.9369,,,,,,,,,,,,,,det=0.9688 cls=0.8625 n=42829
ens_sweep,wbf_conf0.001_iou0.7,,,,,,0.9369,,,,,,,,,,,,,,det=0.9683 cls=0.8636 n=140872
sing_sweep,single_hard_conf0.001_iou0.7,,,,,,0.9055,,,,,,,,,,,,,,det=0.957 cls=0.7854 n=87369
sing_sweep,single_hard_conf0.001_iou0.6,,,,,,0.905,,,,,,,,,,,,,,det=0.9565 cls=0.7849 n=75310
sing_sweep,single_soft_conf0.001_iou,,,,,,0.9043,,,,,,,,,,,,,,det=0.9562 cls=0.7831 n=98034
training,fulldata_cls20_s42,yolov8x,640,42,200,,,,,,,,,,,,,,ashy_fish_1f7gdksg4y,2026-03-20T20:00:00,cls=2.0 fulldata
training,fulldata_x_s77,yolov8x,640,77,200,,,,,,,,,,,,,,jovial_glove_730h6klztt,2026-03-20T20:00:00,seed77 fulldata
training,fulldata_x_s123,yolov8x,640,123,200,,,,,,,,,,,,,,shy_sugar_q2clmwt571,2026-03-20T20:00:00,seed123 fulldata
training,fulldata_x_800,yolov8x,800,42,200,,,,,,,,,,,,,,kind_card_ty66lqh6px,2026-03-20T20:00:00,800px fulldata
training,fulldata_11x_s42,yolo11x,640,42,200,,,,,,,,,,,,,,modest_spring_qs9d65pxl8,2026-03-20T20:00:00,YOLO11x fulldata
training,fulldata_cls15_combo,yolov8x,640,42,200,,,,,,,,,,,,,,calm_tray_v0f521fz4k,2026-03-20T20:00:00,cls=1.5+aug fulldata
training,fulldata_x_300ep,yolov8x,640,42,300,,,,,,,,,,,,,,joyful_puppy_wt500h4tb7,2026-03-20T20:00:00,300ep fulldata
training,fulldata_l_s42,yolov8l,640,42,200,,,,,,,,,,,,,,cyan_picture_13ygln8m3g,2026-03-20T20:00:00,yolov8l fulldata
training,fulldata_yolo26x_s42,yolo26x,640,42,200,,,,,,,,,,,,,,lemon_flower_8xc864224w,2026-03-20T21:00:00,YOLO26x fulldata
training,fulldata_yolo26x_s77,yolo26x,640,77,200,,,,,,,,,,,,,,silver_fig_n2c37xgdc8,2026-03-20T21:00:00,YOLO26x seed77
training,fulldata_rtdetr_l_s42,rtdetr-l,640,42,200,,,,,,,,,,,,,,placid_cheese_vvmxmdczg2,2026-03-20T21:00:00,RT-DETR transformer
training,fulldata_x_labelsmooth,yolov8x,640,42,200,,,,,,,,,,,,,,neat_needle_2sst6q8k1f,2026-03-20T21:00:00,label_smoothing=0.05
submission,wbf_4model_tta,,,,,,,,,,,,,,,,382.1,,,,WBF 4-model (3x+s) + TTA
submission,softvote_3x_nv,,,,,,,,,,,,,,,,362.2,,,,SoftVote 3x + neighbor voting
submission,softvote_3x_t05,,,,,,,,,,,,,,,,362.2,,,,SoftVote 3x T=0.5
submission,softvote_3x_t05_nv,,,,,,,,,,,,,,,,362.2,,,,SoftVote 3x T=0.5 + neighbor voting
submission,softvote_4model,,,,,,,,,,,,,,,,382.1,,,,SoftVote 4-model (3x+s)
submission,wbf_3x_cls20_tta,,,,,,,,,,,,,,,0.9159,362.3,,,,WBF 3x (fulldata+s123+cls20) + TTA — cls20 didn't help on test
submission,wbf_3x_fulldata_seeds_tta,,,,,,,,,,,,,,,0.9152,362.4,,,,WBF 3x fulldata seeds (default+s77+s123) + TTA
submission,wbf_2x1l_multiscale_tta,,,,,,,,,,,,,,,0.9210,319.0,,,,WBF 2x_x+1l multiscale 640+800 + TTA + absent_model_aware — 4TH PLACE
submission,wbf_4x_cls20_tta,,,,,,,,,,,,,,,,483.0,,,,WBF 4x (all+cls20) + TTA — OVER 420MB LIMIT
eval,gallery_rerank_mean,,,,,,,,,,,,,,,,,,,Gallery re-ranking with ConvNeXt mean embeddings: -0.0034 (HURTS)
eval,gallery_rerank_knn_default,,,,,,,,,,,,,,,,,,,Gallery re-ranking KNN k=5: -0.0015 (HURTS)
eval,gallery_rerank_knn_thresh0.5,,,,,,,,,,,,,,,,,,,Gallery re-ranking KNN thresh=0.5: -0.0006 (HURTS)
eval,soft_nms_gauss_s0.5,,,,,,,,,,,,,,,,,,,Soft-NMS Gaussian sigma=0.5: -0.0003 (no improvement)
eval,soft_nms_linear_t0.3,,,,,,,,,,,,,,,,,,,Soft-NMS Linear t=0.3: -0.0001 (no improvement)
submission,candidate6_3scale_weighted,,,,,,,,,,,,,,,0.9205,319.0,,,,WBF 2x_x+1l 3-scale 640+800+960 + weighted WBF [1.5 1.5 1.0]
submission,candidate7_noflip_multiscale,,,,,,,,,,,,,,,0.9200,319.4,,,,WBF noflip_s42+seed999+yolov8l multiscale 640+800 + TTA
eval,fullres_gallery_rerank,,,,,,,,,,,,,,,,,,,Full-res crop gallery re-ranking: YOLO=95.7% vs Gallery=52.4%. Gallery fixes 17 errors but breaks 979. Pre-trained features too noisy.
submission,candidate11_fulldata_noflip_l,,,,,,,,,,,,,,,0.9215,319.5,,,,WBF fulldata_x+noflip_s42+yolov8l multiscale 640+800 + TTA — NEW BEST
submission,candidate6_3scale_weighted,,,,,,,,,,,,,,,0.9205,319.0,,,,WBF 2x_x+1l 3-scale 640+800+960 + weighted WBF — slightly worse
submission,candidate7_noflip_multiscale,,,,,,,,,,,,,,,0.9200,319.4,,,,WBF noflip_s42+seed999+yolov8l multiscale — noflip swap slightly worse
submission,candidate11_fulldata_noflip_l,,,,,,,,,,,,,,,0.9215,319.5,,,,WBF fulldata_x+noflip_s42+yolov8l multiscale — NEW BEST training diversity
submission,twostage_fulldata_noflip_convnext,,,,,,,,,,,,,,,0.9109,341.6,,,,Two-stage YOLO detect + ConvNeXt classify — classifier HURTS (-0.0106 vs best)
submission,sub1_triple_arch,,,,,,,,,,,,,,,0.9190,,,,,WBF fulldata_x+nf_11x_s42(YOLO11x)+nf_l_s1 multiscale 640+800 TTA hflip WBF iou=0.6
submission,sub2_c11_yolo11x_swap,,,,,,,,,,,,,,,0.9226,,,,,WBF fulldata_x+nf_11x_s42(YOLO11x)+yolov8l_highaug multiscale 640+800 TTA hflip WBF iou=0.6 — NEW BEST
